trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,61.40357920000315,,0.0029796000017086044,61.387417600002664,61.38779989999966,66.38711030000195,66.3871175000022,66.40358540000307,74.38701710000169,74.38701710000169,76.60375710000153,77.38704400000279,77.38704400000279,77.37054740000167,3.75,5.05,375,505,8,3,1.2,0.75,410,0,418,0.8,None,None,,,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
1,0,1,0,77.38704400000279,,,,77.37162110000281,82.37059040000167,82.37059670000235,82.38709550000203,90.37060460000066,90.37060460000066,92.5872597000016,93.37057930000083,93.37057930000083,93.35405560000072,3.35,5.45,335,545,8,3,1.2,0.75,410,1,418,0.8,0,m,0.6187663999990036,None,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
2,0,2,0,93.37057930000083,,,,93.35503450000033,98.35408010000174,98.35408610000013,98.37063860000126,106.35415510000166,106.35415510000166,108.57078209999963,109.35404280000148,109.35404280000148,109.33754920000138,3.25,5.55,325,555,8,3,1.2,0.75,410,2,420,1,0,m,0.6828062999993563,None,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
3,0,3,0,109.35404280000148,,,,109.33850080000047,114.3376468000024,114.33765310000308,114.35415110000031,122.33759800000189,122.33759800000189,124.55423300000257,125.33753179999985,125.33753179999985,125.32108739999967,4.07,4.73,407,473,8,3,1.2,0.75,410,3,420,1,1,n,0.6718918000005942,None,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
4,0,4,0,125.33753179999985,,,,125.3220567999997,130.32121320000078,130.3212201000024,130.33770379999987,138.32108350000271,138.32108350000271,140.53785380000045,141.3211177000012,141.3211177000012,141.30462810000245,3.54,5.26,354,526,8,3,1.2,0.75,410,0,417,0.7,0,m,1.2410197000026528,None,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
5,0,5,0,141.3211177000012,,,,141.30557469999985,146.30465800000093,146.30466450000313,146.32116880000103,154.30458,154.30458,156.52127830000245,157.30460959999982,157.30460959999982,157.28812390000166,4.44,4.36,444,436,8,3,1.2,0.75,410,1,419,0.8999999999999999,1,n,0.7096359999995911,None,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
6,0,6,0,157.30460959999982,,,,157.28907620000246,162.28817020000133,162.28817600000184,162.30470129999958,170.28810309999972,170.28810309999972,172.50476900000285,173.288034600002,173.288034600002,173.2716214000029,4.07,4.73,407,473,8,3,1.2,0.75,410,2,419,0.8999999999999999,1,n,0.5741716000011365,None,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
7,0,7,0,173.288034600002,,,,173.2725900000005,178.27166209999996,178.27166829999987,178.2881750000015,186.27157030000308,186.27157030000308,188.4882785000009,189.2716692000031,189.2716692000031,189.2551768000012,3.79,5.01,379,501,8,3,1.2,0.75,410,3,418,0.7999999999999999,1,n,0.45008899999811547,None,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
8,0,8,0,189.2716692000031,,,,189.2561435000025,194.25523180000164,194.25523780000003,194.27166330000182,202.25509140000213,202.25509140000213,204.47177940000256,205.25511540000298,205.25511540000298,205.23858490000202,4.2,4.6,420,459,8,3,1.2,0.75,410,0,418,0.7999999999999999,1,n,1.0388648000007379,None,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
9,0,9,0,205.25511540000298,,,,205.23952940000163,210.23880780000036,210.2388142000018,210.25520680000045,218.2386609000023,218.2386609000023,220.45531090000077,221.2386374000016,221.2386374000016,221.22212910000235,4.31,4.49,430,449,8,3,1.2,0.75,410,1,417,0.7,1,n,0.7189969999999448,None,,,,,,,,sub-051,COM7,41.0,2025-03-05_14h30.19.504,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9786476016441,2025-03-05 14h30.32.095028 -0500,
