trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,thermode_locali.stopped,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,thermode_locali_EVA.stopped,tâche_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,98.66635959999985,,0.015622800001438009,87.64997740000035,87.65033089999997,92.04991620000146,92.04992400000265,98.64999090000128,98.65028499999971,103.64997109999968,103.64997770000264,103.66648120000173,115.65008840000155,0,active,42.4,115.65034890000243,117.80157709999912,15.000000000000004,2.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,117.81670619999932,,,,,,,,117.80246669999906,122.80018900000141,122.80019530000209,122.81672140000228,134.8005445000017,1,active,42.4,134.80069210000147,137.80280330000096,23.000000000000203,2.982,134.83348810000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,137.81683540000085,,,,,,,,137.8035732999997,142.80042580000008,142.80043260000093,142.8168652000022,154.80079090000072,2,inactive,41.0,154.80096930000218,156.38447090000045,46.000000000000085,1.564,154.83365849999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,156.4002815999993,,,,,,,,156.38470900000175,161.38388280000072,161.3838891000014,161.40038540000023,173.38427819999924,3,inactive,41.0,173.38442620000205,176.55235950000133,51.99999999999989,3.149,173.41712890000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,176.56728289999955,,,,,,,,176.55311740000252,181.55080180000004,181.55080920000182,181.56725870000082,193.55119150000246,0,active,42.4,193.55134270000053,196.05216780000046,53.99999999999996,2.482,193.5840042000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,196.06740039999931,,,,,,,,196.05302780000056,201.05101730000024,201.05102389999956,201.06748349999907,213.0513557000013,1,inactive,41.0,213.05150480000157,215.7365482999994,41.49999999999999,2.665,213.08425669999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,215.75095320000037,,,,,,,,215.7374028000013,220.7345260000002,220.7345322000001,220.75100799999927,232.734960400001,2,active,42.4,232.73510340000212,236.7868156000004,64.99999999999991,4.033,232.76781340000161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,236.8011664000005,,,,,,,,236.78765900000144,241.78473080000185,241.78473700000177,241.80123599999934,253.78519750000123,3,inactive,41.0,253.78534430000218,256.4202022000027,26.500000000000085,2.615,253.81801020000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,256.43461430000025,,,,,,,,256.42102520000117,261.4182731000001,261.4182796000023,261.4347712000017,273.4186789000014,0,inactive,41.0,273.41882389999955,277.1534971000001,13.000000000000075,3.716,273.4515038999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,277.16826070000025,,,,,,,,277.1543335000024,282.15182450000066,282.15183049999905,282.1682729999993,294.1521724000013,1,active,42.4,294.15231610000046,295.8867003000014,45.99999999999991,1.715,294.1850228000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,295.9017817999993,,,,,,,,295.88752640000166,300.8853225999992,300.88532920000216,300.90184339999905,312.88576230000035,2,inactive,41.0,312.8859110000012,315.5382993000021,31.500000000000135,2.633,312.91863340000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,315.55200759999934,,,,,,,,315.53907360000085,320.5355512999995,320.5355593000022,320.55204220000087,332.5359334999994,3,active,42.4,332.53607900000134,334.3871973999994,59.99999999999989,1.832,332.56888710000203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,334.4021920000014,,,,,,,,334.38802489999944,339.38576470000044,339.38577129999976,339.40225270000155,351.3861711999998,0,inactive,41.0,351.38631729999906,354.67080500000156,17.00000000000021,3.264,351.419001000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,354.6857559000018,,,,,,,,354.6716047000009,359.6692924000017,359.66929829999935,359.68580479999946,371.66974090000076,1,inactive,41.0,371.6698820999991,372.7559719000019,23.000000000000025,1.066,371.70256150000205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,372.76926169999933,,,,,,,,372.7567826000013,377.7527470000023,377.75275300000067,377.76920520000203,389.75331089999963,2,active,42.4,389.7534570000025,391.70432470000014,56.49999999999991,1.931,389.7861176000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,41.0,42.4,41.8,COM7,2025-03-05_14h46.49.441,2024_RDpaindiscrimination_maintask,2023.2.3,59.99926800903173,2025-03-05 14h47.19.972399 -0500,
