trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,thermode_locali.stopped,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,thermode_locali_EVA.stopped,tâche_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,296.5759999998845,,0.006322099827229977,286.8762382999994,286.8766458998434,288.34286939981394,288.34287819988094,296.5430636999663,296.54335259995423,301.55949109978974,301.5594966998324,301.5761417998001,313.5595936998725,0,active,43.7,313.5598257998936,318.32904849993065,26.500000000000057,4.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,318.34298109984957,,,,,,,,318.3299274998717,323.3264930997975,323.32649869984016,323.34307449986227,335.32669429993257,1,inactive,45.8,335.32682989980094,339.5123031998519,85.99999999999991,4.165,335.35970499995165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,339.52652579988353,,,,,,,,339.51302389986813,344.5100413998589,344.5100465998985,344.5265848999843,356.5102367999498,2,active,43.7,356.51037529995665,359.2290829999838,19.500000000000036,2.699,356.5433676999528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,359.24332929984666,,,,,,,,359.22984839999117,364.2269533998333,364.226959399879,364.24345249985345,376.2271300998982,3,inactive,45.8,376.22726889979094,379.94498739996925,83.99999999999994,3.698,376.26023889984936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,379.9603182999417,,,,,,,,379.94581319997087,384.94367509987205,384.943680399796,384.96020689979196,396.9441312998533,0,inactive,45.8,396.94427819992416,398.712205799995,88.50000000000011,1.748,396.97711029998027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,398.7271479999181,,,,,,,,398.7129753998015,403.71053779986687,403.7105433999095,403.7271833999548,415.71082809986547,1,active,43.7,415.71096609998494,418.513373499969,17.000000000000032,2.782,415.74390319990925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,418.52725949999876,,,,,,,,418.5143918998074,423.51076289988123,423.5107683998067,423.52728019980714,435.5110579999164,2,inactive,45.8,435.5111949997954,437.0963133999612,80.0,1.564,435.5440961997956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,437.1107665998861,,,,,,,,437.09657850000076,442.0942833998706,442.0942898998037,442.11080279992893,454.0946016998496,3,active,43.7,454.0947398999706,456.67979209986515,27.99999999999998,2.565,454.1275904998183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,456.69428179995157,,,,,,,,456.6806112998165,461.6777974998113,461.6778026998509,461.69434569985606,473.6781842999626,0,inactive,45.8,473.67832589987665,477.9142859999556,81.99999999999982,4.216,473.7112365998328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,477.9278810999822,,,,,,,,477.9151583998464,482.9114081999287,482.9114135999698,482.9279249999672,494.9116968999151,1,active,43.7,494.91183259990066,497.04626169987023,45.00000000000006,2.114,494.9446749999188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,497.06138159986585,,,,,,,,497.04704410000704,502.0449296999723,502.0449353000149,502.0614559999667,514.0452140998095,2,inactive,45.8,514.0453509998042,515.8814428998157,80.49999999999997,1.817,514.0782450998668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,515.8949814999942,,,,,,,,515.8821992999874,520.87847399991,520.8784795999527,520.8949591999408,532.8787737998646,3,active,43.7,532.8789195998106,535.3135887999088,23.500000000000128,2.415,532.9118097999599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,535.3284626998939,,,,,,,,535.3144298999105,540.3119856999256,540.3119912999682,540.3285249997862,552.312294599833,0,active,43.7,552.3124462999403,556.6150045997929,12.500000000000135,4.283,552.3453699999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-069,45.8,43.7,46.2,COM3,2025-09-25_16h22.35.756,2024_RDpaindiscrimination_maintask,2023.2.3,59.99480439640916,2025-09-25 16h23.00.346088 -0400,
