trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,167.7207920998335,,0.002073800191283226,167.70452449982986,167.7048904998228,172.70438429992646,172.70438979985192,172.7275678999722,180.7043432998471,180.7043432998471,182.93770270003006,183.70438229991123,183.70438229991123,183.68786029983312,3.77,5.03,377,503,8,3,1.2,0.75,471,0,479,0.8,1,m,1.6621802002191544,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
1,0,1,0,183.70438229991123,,,,183.68903829995543,188.6879670000635,188.6879730997607,188.7044373997487,196.70452670007944,196.70452670007944,198.9045661999844,199.70457870000973,199.70457870000973,199.6880546999164,4.13,4.67,413,467,8,3,1.2,0.75,471,1,475,0.4,1,m,1.5955753000453115,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
2,0,2,0,199.70457870000973,,,,199.68895469978452,204.6880843997933,204.68808980006725,204.70453830016777,212.6880908999592,212.6880908999592,214.90475849993527,215.68811299977824,215.68811299977824,215.6716125998646,3.86,4.94,386,494,8,3,1.2,0.75,471,2,474,0.3,0,n,1.6275790999643505,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
3,0,3,0,215.68811299977824,,,,215.6725690998137,220.67159220017493,220.6715977001004,220.68817730015144,228.67160709993914,228.67160709993914,230.88830300001428,231.67163900006562,231.67163900006562,231.6551386998035,4.16,4.64,416,463,8,3,1.2,0.75,471,3,477,0.6,1,m,1.078809800092131,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
4,0,4,0,231.67163900006562,,,,231.65609160019085,236.65518470015377,236.65519079985097,236.6716872001998,244.65514210006222,244.65514210006222,246.8718459000811,247.6551934001036,247.6551934001036,247.63863370008767,4.19,4.61,419,461,8,3,1.2,0.75,471,0,477,0.6,0,n,1.4071479998528957,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
5,0,5,0,247.6551934001036,,,,247.63953820010647,252.63867409992963,252.63868049997836,252.65523830009624,260.6386629999615,260.6386629999615,262.8553744000383,263.63869829988107,263.63869829988107,263.622215999756,3.28,5.52,328,552,8,3,1.2,0.75,471,1,480,0.8999999999999999,1,m,1.109373599756509,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
6,0,6,0,263.63869829988107,,,,263.6231649997644,268.6222538999282,268.62226009974256,268.6387796001509,276.6222093999386,276.6222093999386,278.83885829988867,279.6222180998884,279.6222180998884,279.6057241000235,4.48,4.32,448,432,8,3,1.2,0.75,471,2,480,0.8999999999999999,1,m,1.132195900194347,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
7,0,7,0,279.6222180998884,,,,279.6066593998112,284.60575939994305,284.60576539998874,284.6223070998676,292.60573479998857,292.60573479998857,294.8224241998978,295.60576820001006,295.60576820001006,295.5892793000676,4.22,4.58,422,458,8,3,1.2,0.75,471,3,478,0.7,1,m,2.5446954001672566,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
8,0,8,0,295.60576820001006,,,,295.59020640002564,300.58928920002654,300.58929509995505,300.60583759984,308.5892731999047,308.5892731999047,310.80584370018914,311.58922909991816,311.58922909991816,311.5726712998003,4.03,4.77,403,476,8,3,1.2,0.75,471,0,478,0.7,0,n,0.9055357999168336,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
9,0,9,0,311.58922909991816,,,,311.5736569999717,316.57270180014893,316.57270850008354,316.58924600016326,324.5728067997843,324.5728067997843,326.7895101001486,327.57284859986976,327.57284859986976,327.55632560001686,4.22,4.58,422,458,8,3,1.2,0.75,471,1,479,0.7999999999999999,1,m,0.862287700176239,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
10,0,10,0,327.57284859986976,,,,327.55723629985005,332.55638119997457,332.5563884000294,332.57287079980597,340.5563468001783,340.5563468001783,342.7729927999899,343.55638370011,343.55638370011,343.53986159991473,4.33,4.47,433,447,8,3,1.2,0.75,471,2,479,0.7999999999999999,1,m,2.6625361000187695,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
11,0,11,0,343.55638370011,,,,343.54075489984825,348.5398558001034,348.53986220015213,348.556320999749,356.5398603999056,356.5398603999056,358.756561699789,359.53991340007633,359.53991340007633,359.52341130003333,4.57,4.23,457,423,8,3,1.2,0.75,471,3,478,0.7,0,n,1.0910974000580609,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
12,0,12,0,359.53991340007633,,,,359.52432319987565,364.5234738998115,364.52348019974306,364.5399663001299,372.52341359993443,372.52341359993443,374.74010880012065,375.5234546000138,375.5234546000138,375.5069333999418,4.62,4.18,462,418,8,3,1.2,0.75,471,0,479,0.7999999999999999,1,m,0.9790793000720441,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
13,0,13,0,375.5234546000138,,,,375.50786230014637,380.5070043997839,380.50701060006395,380.52351519977674,388.5068620997481,388.5068620997481,390.723525499925,391.5068820999004,391.5068820999004,391.49034400004894,4.64,4.16,463,416,8,3,1.2,0.75,471,1,479,0.7999999999999999,1,m,1.1200819998048246,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
14,0,14,0,391.5068820999004,,,,391.4912704001181,396.4903902998194,396.4903961997479,396.5069272997789,404.4904606998898,404.4904606998898,406.70705500012264,407.49040189990774,407.49040189990774,407.47389730019495,4.13,4.67,413,467,8,3,1.2,0.75,471,2,478,0.7,0,n,1.5447054002434015,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
15,0,15,0,407.49040189990774,,,,407.474825500045,412.4739540000446,412.4739600997418,412.49048999976367,420.4738972000778,420.4738972000778,422.6906066997908,423.4739346001297,423.4739346001297,423.45746190007776,4.02,4.78,401,478,8,3,1.2,0.75,471,3,479,0.7999999999999999,1,m,1.053368499968201,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
16,0,16,0,423.4739346001297,,,,423.45836640009657,428.4574903999455,428.4574966998771,428.4740007999353,436.4574343999848,436.4574343999848,438.6741289999336,439.4574744999409,439.4574744999409,439.4409980000928,4.58,4.22,458,422,8,3,1.2,0.75,471,0,479,0.7999999999999999,0,n,0.9252948998473585,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
17,0,17,0,439.4574744999409,,,,439.4419591999613,444.44102009991184,444.44102679984644,444.4575470997952,452.44097469979897,452.44097469979897,454.65767160011455,455.4410071000457,455.4410071000457,455.42450000019744,4.16,4.64,416,463,8,3,1.2,0.75,471,1,480,0.8999999999999999,1,m,1.3855647002346814,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
18,0,18,0,455.4410071000457,,,,455.42542900005355,460.4245516997762,460.424557399936,460.44107849989086,468.42453509988263,468.42453509988263,470.6412129001692,471.424576099962,471.424576099962,471.40804329980165,3.98,4.82,398,482,8,3,1.2,0.75,471,2,480,0.8999999999999999,0,n,1.0428606998175383,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
19,0,19,0,471.424576099962,,,,471.40893819974735,476.4081012997776,476.40810750005767,476.4246096997522,484.4080856000073,484.4080856000073,486.6248062001541,487.40812900010496,487.40812900010496,487.39160279976204,4.24,4.56,424,455,8,3,1.2,0.75,471,3,481,0.9999999999999999,1,m,0.9673092998564243,None,,,,,,,,sub-070,COM3,47.1,2025-11-17_13h32.27.948,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98541154855925,2025-11-17 13h32.50.338187 -0500,
