trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,thermode_locali.stopped,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,thermode_locali_EVA.stopped,tâche_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,274.6395295000002,,0.0032054000002972316,269.37308049999956,269.3734962999997,270.7729896000001,270.7729965999997,274.6064139,274.60668220000025,279.62290630000007,279.6229116000004,279.6395596000002,291.6230905000002,0,inactive,45.8,291.6233291999997,297.79053099999965,5.499999999999988,6.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,297.8064938999996,,,,,,,,297.7908889999999,302.7899397000001,302.7899461999996,302.8064768000004,314.79025139999976,1,inactive,45.8,314.7903868000003,319.8749022000002,15.000000000000068,5.064,314.8232815000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,319.8900563999996,,,,,,,,319.8754565999998,324.87355540000044,324.87356180000006,324.89008730000023,336.8739236000001,2,active,43.8,336.87405860000035,340.0596545999997,16.500000000000174,3.165,336.9068490999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,340.0736434999999,,,,,,,,340.06043210000007,345.0570944000001,345.05710100000033,345.07361089999995,357.05738680000013,3,inactive,45.8,357.05752630000006,362.8925256000002,41.99999999999996,5.815,357.09046260000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,362.907236,,,,,,,,362.8932993999997,367.8906281999998,367.89063389999956,367.90710800000033,379.8908346999997,0,active,43.8,379.89097690000017,384.6761905000003,16.50000000000014,4.766,379.9238812000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,384.69075259999954,,,,,,,,384.6769529000003,389.6742285,389.6742350000004,389.6907308,401.6745399000001,1,active,43.8,401.6746744000002,405.9425529,19.999999999999996,4.248,401.7076009000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,405.95760729999984,,,,,,,,405.94341170000007,410.94101839999985,410.9410244999999,410.9575484999996,422.9414419000004,2,inactive,45.8,422.94158030000017,427.3436187999996,53.50000000000006,4.381,422.9744526000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,427.35782970000037,,,,,,,,427.3444195000002,432.34136409999974,432.3413700000001,432.35789620000014,444.3416070000003,3,inactive,45.8,444.3417406999997,450.0933825000002,64.50000000000006,5.731,444.37460999999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,450.1081227000004,,,,,,,,450.09417610000037,455.0916459,455.0916520999999,455.10807190000014,467.0919090999996,0,active,43.8,467.0920457000002,469.6101864000002,10.0,2.498,467.1249633999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,469.6250034000004,,,,,,,,469.6109825000003,474.6084713,474.60847749999994,474.62498349999987,486.60882839999977,1,inactive,45.8,486.6089625000004,490.6950976999997,47.499999999999986,4.065,486.64187010000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,490.7085637,,,,,,,,490.69588289999956,495.6920871000002,495.6920934,495.7086591999996,507.69244569999955,2,active,43.8,507.6925855999998,510.8435152000002,26.999999999999986,3.131,507.7253773000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,510.85883230000036,,,,,,,,510.84426710000025,515.8423019000002,515.8423077999996,515.8587772999999,527.8426108000003,3,active,43.8,527.842748,532.1272227999998,27.000000000000153,4.265,527.8756608000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,532.1423568999999,,,,,,,,532.1280260000003,537.1257741999998,537.1257806000003,537.1423801999999,549.126139,0,inactive,45.8,549.1262743999996,551.3787817000002,60.50000000000007,2.233,549.1592025999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-072,45.8,43.8,46.75,COM3,2026-02-05_15h42.11.097,2024_RDpaindiscrimination_maintask,2023.2.3,60.02945044835792,2026-02-05 15h42.36.651259 -0500,
